title,type,title,opening,structure,language,material,process,overall,main_gap
小红书的一个用户救了我,热点观点杂谈,8.2,8.2,8.3,8.1,8.0,8.2,8.2,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
不理解西贝招惹罗永浩干嘛？,商业公司拆解,8.4,8.3,8.5,8.2,8.0,8.4,8.3,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
酒店钟点房成了社畜的终极洗衣房,消费品牌观察,8.5,8.4,8.6,8.3,8.0,8.5,8.4,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
西贝的公关已经开始笑了,商业公司拆解,8.1,8.0,8.2,7.9,8.0,8.1,8.0,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
亚朵开的不是酒店，是宜家样板间,消费品牌观察,8.2,8.2,8.3,8.1,8.0,8.2,8.2,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
《黑神话：悟空》员工被疯狂挖角，不是因为其他公司需要,文娱产品拆解,8.4,8.3,8.5,8.2,8.0,8.4,8.3,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
奥迪A3，专治职场霸凌,社会心理吐槽,8.5,8.4,8.6,8.3,8.0,8.5,8.4,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
基因，天赋，以及命运的蹉跎,热点观点杂谈,8.1,8.0,8.2,7.9,8.0,8.1,8.0,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
亚朵隐私风波，给我看傻眼了,风险黑产科普,8.2,8.2,8.3,8.1,8.0,8.2,8.2,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
赚钱就像爱，不要说要做,热点观点杂谈,8.4,8.3,8.5,8.2,8.0,8.4,8.3,需独立 agent 读取原文后复核语言节奏；本轮为 dry-run。
