id,type,title,skill_label,winner,result,skill_overall,baseline_overall,skill_non_template,baseline_non_template,skill_style,baseline_style,skill_fact,baseline_fact,reason
H01,金钱认知,人可以穷，但不要有穷相,B,B,skill_win,8,7,7,6,8,7,9,9,B的标题和开头更有抓力，秩序、体面、行动三层推进更自然，A也稳但更像通用三段式劝诫。
H02,家庭关系,为什么付出最多的人，反倒成了全家最恨的人？,A,B,baseline_win,7,8,6,8,7,8,9,9,B能把过度付出如何反噬关系讲出心理链条和关系错位，A观点正确但句式和段落推进更模板。
H03,家庭关系,55岁儿子殴打92岁母亲被刑拘，母亲得知后第一句话，让所有人都想不到,A,B,baseline_win,7,8,7,8,7,8,8,9,B刻意回避未核实细节并把新闻转成边界和法律意识的判断，A也安全但对具体事件贴得更近、风险略高。
H04,清单方法,新的一年，叫醒自己的50条行动清单，值得收藏,A,B,baseline_win,6,8,7,6,7,8,10,10,B虽然清单感更强但完整兑现50条，适合收藏型选题；A只写21条且改成短文，和题目承诺不匹配。
H05,职场单位,人在单位：事别拖、话别多、人别作,A,B,baseline_win,8,8,7,7,8,8,10,10,B的职场边界、留痕、风险意识更具体，A结尾更有洞见味但整体锋利度稍弱。
H06,人生观点,普通人变强的开始：停止弱者叙事,B,B,skill_win,8,8,8,7,8,8,10,10,B从讲苦、等理解到拿回行动权，情绪转折更像洞见式表达，A完整但更像标准议论文。
H07,家庭关系,看了那篇感动全网的高中生作文，我才知道该如何养出“报恩”的孩子,B,B,skill_win,8,7,8,6,8,7,9,8,B没有借作文扩写细节，而是抓住孩子表达和家庭回应，语言更克制也更贴近亲子洞察。
H08,职场单位,人和人的差距，从忍耐一份“烂工作”开始,B,B,skill_win,8,8,8,7,8,8,10,10,B把烂工作里的现实压力、能力迁移和离开期限讲得更有层次，A稳但“忍耐策略”略显常规。
H09,清单方法,中年人的极简，是只过1%的生活,B,B,skill_win,8,8,8,7,8,8,10,10,B的消费、人际、生活三层更贴中年人的真实疲惫，A也完整但“1%”落点更像漂亮总结。
H10,人生观点,这世间最大的荒唐：无情人在演有情人，有情人修了无情道,B,B,skill_win,8,7,8,6,8,7,10,10,B把标题里的戏剧性收束成关系里的清醒和边界，A金句密度高但更容易落入情感号套话。
